states,x,y
Jammu & Kashmir,-97,203
Himachal Pradesh,-85,153
Punjab,-114,133
Harayana,-96,106
Uttarakhand,-53,126
Rajasthan,-137,56
Madhya Pradesh,-71,-0
Uttar Pradesh,-32,63
Gujarat,-174,-2
Bihar,51,40
Jharkhand,42,2
West Bengal,82,-6
Maharashtra,-112,-69
Chhattisgarh,-14,-35
Odisha,27,-48
Karnataka,-107,-149
Telangana,-56,-95
Andhra Pradesh,-56,-140
Tamil Nadu,-68,-207
Kerala,-96,-214
Sikkim,96,76
Meghalaya,143,37
Assam,164,53
Arunachal Pradesh,189,84
Tripura,145,5
Mizoram,165,2
Manipur,182,24
Nagaland,192,48
Delhi,-85,94
Goa,-134,-136
